,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
103,frozenset({'Can                           '}),frozenset({'Cakes                         '}),0.028699076177495078,0.009460661820384674,0.0003928138724822051,0.013687335092348285,1.4467629593160696,0.00012130161820946608,1.0042853279921733
104,frozenset({'Cakes                         '}),frozenset({'Tetra Pack                    '}),0.009460661820384674,0.02496971073754354,0.0006483795244585795,0.06853426713356678,2.744696078137628,0.0004121495354178521,1.0467698970116277
105,frozenset({'Tetra Pack                    '}),frozenset({'Cakes                         '}),0.02496971073754354,0.009460661820384674,0.0006483795244585795,0.02596664139499621,2.7446960781376286,0.0004121495354178521,1.0169460105537362
106,frozenset({'FAN FAN DIM                   '}),frozenset({'Can                           '}),0.0033886112373163716,0.028699076177495078,0.0007430334696350144,0.21927374301675978,7.640446042953377,0.000645783457599356,1.2440992154864283
107,frozenset({'Can                           '}),frozenset({'FAN FAN DIM                   '}),0.028699076177495078,0.0033886112373163716,0.0007430334696350144,0.025890501319261214,7.640446042953376,0.000645783457599356,1.0230999596168806
108,frozenset({'Large                         '}),frozenset({'Can                           '}),0.00728362108132667,0.028699076177495078,0.00021770407390580039,0.029889538661468484,1.0414808642832527,8.670877644797206e-06,1.0012271411673377
109,frozenset({'Can                           '}),frozenset({'Large                         '}),0.028699076177495078,0.00728362108132667,0.00021770407390580039,0.00758575197889182,1.0414808642832527,8.670877644797206e-06,1.0003044403062205
110,frozenset({'ORIENTAL BUN                  '}),frozenset({'Can                           '}),0.04669752385279419,0.028699076177495078,0.0015428593063758897,0.03303942434377217,1.1512365115669003,0.00020268351202415587,1.0044886505981192
111,frozenset({'Can                           '}),frozenset({'ORIENTAL BUN                  '}),0.028699076177495078,0.04669752385279419,0.0015428593063758897,0.0537598944591029,1.1512365115669003,0.00020268351202415587,1.0074636136905988
112,frozenset({'Poultry & Others              '}),frozenset({'Can                           '}),0.0029532030895047705,0.028699076177495078,0.00031709071634105707,0.10737179487179487,3.741297950071037,0.00023233651590774586,1.088136043923237
113,frozenset({'Can                           '}),frozenset({'Poultry & Others              '}),0.028699076177495078,0.0029532030895047705,0.00031709071634105707,0.011048812664907651,3.7412979500710373,0.00023233651590774586,1.0081860557720932
114,frozenset({'Can                           '}),frozenset({'QB UFO Pocket                 '}),0.028699076177495078,0.005196501590186279,0.0003738830834469181,0.013027704485488126,2.5070144325734964,0.00022474828845368776,1.0079345721565767
115,frozenset({'QB UFO Pocket                 '}),frozenset({'Can                           '}),0.005196501590186279,0.028699076177495078,0.0003738830834469181,0.07194899817850638,2.5070144325734964,0.00022474828845368776,1.0466029581522183
